CODIGO_REGIONAL,NOMBRE_REGIONAL,CODIGO_CENTRO,NOMBRE_CENTRO,IDENTIFICADOR_UNICO_FICHA,FECHA_INICIO_FICHA,FECHA_TERMINACION_FICHA,CODIGO_PROGRAMA,VERSION_PROGRAMA,NOMBRE_PROGRAMA_FORMACION,NIVEL_FORMACION,MODALIDAD_FORMACION,TOTAL_APRENDICES_MATRICULADOS,DESERTORES_AÑO_ACTUAL,PERIODO
13,"""REGIONAL BOLIVAR""",9304,"""CENTRO DE COMERCIO Y SERVICIOS""",12709991,"""27/02/2023""","""16/12/2024""","""635503""",103,"""COCINA.""","""TECNICO""","""PRESENCIAL""",33,0,202402
19,"""REGIONAL CAUCA""",9113,"""CENTRO AGROPECUARIO""",12860879,"""17/10/2023""","""01/03/2025""","""635604""",1,"""SERVICIOS DE BARISMO""","""TECNICO""","""PRESENCIAL""",21,0,202402
76,"""REGIONAL VALLE""",9544,"""CENTRO DE BIOTECNOLOGIA INDUSTRIAL""",12710859,"""27/02/2023""","""16/12/2024""","""233101""",1,"""SISTEMAS.""","""TECNICO""","""PRESENCIAL""",39,0,202402
19,"""REGIONAL CAUCA""",9113,"""CENTRO AGROPECUARIO""",12615282,"""06/10/2022""","""05/10/2024""","""112005""",101,"""GESTION DEL TALENTO HUMANO""","""TECNOLOGO""","""PRESENCIAL""",24,0,202402
20,"""REGIONAL CESAR""",9520,"""CENTRO AGROEMPRESARIAL""",12715260,"""06/03/2023""","""13/12/2024""","""134200""",2,"""RECURSOS HUMANOS .""","""TECNICO""","""PRESENCIAL""",24,0,202402
76,"""REGIONAL VALLE""",9124,"""CENTRO AGROPECUARIO DE BUGA""",12713214,"""01/03/2023""","""15/12/2024""","""233101""",1,"""SISTEMAS.""","""TECNICO""","""PRESENCIAL""",22,0,202402
17,"""REGIONAL CALDAS""",9112,"""CENTRO PARA LA FORMACION CAFETERA""",12721335,"""27/03/2023""","""26/06/2025""","""723179""",1,"""GESTION AGROEMPRESARIAL""","""TECNOLOGO""","""VIRTUAL""",31,0,202402
13,"""REGIONAL BOLIVAR""",9304,"""CENTRO DE COMERCIO Y SERVICIOS""",12909270,"""08/02/2024""","""06/03/2024""","""13410029""",2,"""ADMINISTRACION DE RECURSOS HUMANOS""","""CURSO ESPECIAL""","""VIRTUAL""",80,1,202402
11,"""REGIONAL DISTRITO CAPITAL""",9405,"""CENTRO DE SERVICIOS FINANCIEROS""",12914465,"""19/02/2024""","""27/02/2024""","""12110081""",1,"""LIDERAZGO EFECTIVO""","""CURSO ESPECIAL""","""PRESENCIAL""",25,0,202402
13,"""REGIONAL BOLIVAR""",9218,"""CENTRO PARA LA INDUSTRIA PETROQUIMICA""",12740276,"""29/03/2023""","""16/12/2024""","""233101""",1,"""SISTEMAS.""","""TECNICO""","""PRESENCIAL""",32,0,202402
8,"""REGIONAL ATLANTICO""",9302,"""CENTRO DE COMERCIO Y SERVICIOS""",12918237,"""06/02/2024""","""27/02/2024""","""63220082""",1,"""MERCADEO Y VENTAS""","""CURSO ESPECIAL""","""PRESENCIAL""",24,0,202402
20,"""REGIONAL CESAR""",9520,"""CENTRO AGROEMPRESARIAL""",12715268,"""06/03/2023""","""13/12/2024""","""134101""",2,"""ASISTENCIA ADMINISTRATIVA .""","""TECNICO""","""PRESENCIAL""",42,0,202402
23,"""REGIONAL CORDOBA""",9115,"""CENTRO AGROPECUARIO Y DE BIOTECNOLOGIA EL PORVENIR""",12747367,"""13/04/2023""","""20/11/2024""","""233104""",2,"""PROGRAMACION DE SOFTWARE .""","""TECNICO""","""PRESENCIAL""",26,0,202402
5,"""REGIONAL ANTIOQUIA""",9206,"""CENTRO TEXTIL Y DE GESTION INDUSTRIAL""",12687974,"""05/12/2022""","""04/03/2024""","""233101""",1,"""SISTEMAS.""","""TECNICO""","""PRESENCIAL""",16,0,202402
19,"""REGIONAL CAUCA""",9113,"""CENTRO AGROPECUARIO""",12786356,"""21/06/2023""","""20/09/2024""","""233101""",1,"""SISTEMAS.""","""TECNICO""","""PRESENCIAL""",21,0,202402
