CODIGO_REGIONAL,NOMBRE_REGIONAL,CODIGO_CENTRO,NOMBRE_CENTRO,IDENTIFICADOR_UNICO_FICHA,FECHA_INICIO_FICHA,FECHA_TERMINACION_FICHA,CODIGO_PROGRAMA,VERSION_PROGRAMA,NOMBRE_PROGRAMA_FORMACION,NIVEL_FORMACION,MODALIDAD_FORMACION,TOTAL_APRENDICES_MATRICULADOS,DESERTORES_AÑO_ACTUAL,PERIODO,tasa_desercion,duracion_dias,duracion_meses,mes_inicio,año_inicio,tiene_desercion
13,REGIONAL BOLIVAR,9304,CENTRO DE COMERCIO Y SERVICIOS,12709991,2023-02-27,2024-12-16,635503,103,COCINA.,TECNICO,PRESENCIAL,33,0,202402,0,658,21.6,2,2023,FALSE
19,REGIONAL CAUCA,9113,CENTRO AGROPECUARIO,12860879,2023-10-17,2025-03-01,635604,1,SERVICIOS DE BARISMO,TECNICO,PRESENCIAL,21,0,202402,0,501,16.5,10,2023,FALSE
76,REGIONAL VALLE,9544,CENTRO DE BIOTECNOLOGIA INDUSTRIAL,12710859,2023-02-27,2024-12-16,233101,1,SISTEMAS.,TECNICO,PRESENCIAL,39,0,202402,0,658,21.6,2,2023,FALSE
19,REGIONAL CAUCA,9113,CENTRO AGROPECUARIO,12615282,2022-10-06,2024-10-05,112005,101,GESTION DEL TALENTO HUMANO,TECNOLOGO,PRESENCIAL,24,0,202402,0,730,24,10,2022,FALSE
20,REGIONAL CESAR,9520,CENTRO AGROEMPRESARIAL,12715260,2023-03-06,2024-12-13,134200,2,RECURSOS HUMANOS .,TECNICO,PRESENCIAL,24,0,202402,0,648,21.3,3,2023,FALSE
76,REGIONAL VALLE,9124,CENTRO AGROPECUARIO DE BUGA,12713214,2023-03-01,2024-12-15,233101,1,SISTEMAS.,TECNICO,PRESENCIAL,22,0,202402,0,655,21.5,3,2023,FALSE
17,REGIONAL CALDAS,9112,CENTRO PARA LA FORMACION CAFETERA,12721335,2023-03-27,2025-06-26,723179,1,GESTION AGROEMPRESARIAL,TECNOLOGO,VIRTUAL,31,0,202402,0,822,27,3,2023,FALSE
13,REGIONAL BOLIVAR,9304,CENTRO DE COMERCIO Y SERVICIOS,12909270,2024-02-08,2024-03-06,13410029,2,ADMINISTRACION DE RECURSOS HUMANOS,CURSO ESPECIAL,VIRTUAL,80,1,202402,0.0125,27,0.9,2,2024,TRUE
11,REGIONAL DISTRITO CAPITAL,9405,CENTRO DE SERVICIOS FINANCIEROS,12914465,2024-02-19,2024-02-27,12110081,1,LIDERAZGO EFECTIVO,CURSO ESPECIAL,PRESENCIAL,25,0,202402,0,8,0.3,2,2024,FALSE
13,REGIONAL BOLIVAR,9218,CENTRO PARA LA INDUSTRIA PETROQUIMICA,12740276,2023-03-29,2024-12-16,233101,1,SISTEMAS.,TECNICO,PRESENCIAL,32,0,202402,0,628,20.7,3,2023,FALSE
8,REGIONAL ATLANTICO,9302,CENTRO DE COMERCIO Y SERVICIOS,12918237,2024-02-06,2024-02-27,63220082,1,MERCADEO Y VENTAS,CURSO ESPECIAL,PRESENCIAL,24,0,202402,0,21,0.7,2,2024,FALSE
20,REGIONAL CESAR,9520,CENTRO AGROEMPRESARIAL,12715268,2023-03-06,2024-12-13,134101,2,ASISTENCIA ADMINISTRATIVA .,TECNICO,PRESENCIAL,42,0,202402,0,648,21.3,3,2023,FALSE
23,REGIONAL CORDOBA,9115,CENTRO AGROPECUARIO Y DE BIOTECNOLOGIA EL PORVENIR,12747367,2023-04-13,2024-11-20,233104,2,PROGRAMACION DE SOFTWARE .,TECNICO,PRESENCIAL,26,0,202402,0,587,19.3,4,2023,FALSE
5,REGIONAL ANTIOQUIA,9206,CENTRO TEXTIL Y DE GESTION INDUSTRIAL,12687974,2022-12-05,2024-03-04,233101,1,SISTEMAS.,TECNICO,PRESENCIAL,16,0,202402,0,455,15,12,2022,FALSE
19,REGIONAL CAUCA,9113,CENTRO AGROPECUARIO,12786356,2023-06-21,2024-09-20,233101,1,SISTEMAS.,TECNICO,PRESENCIAL,21,0,202402,0,457,15,6,2023,FALSE
66,REGIONAL RISARALDA,9121,CENTRO ATENCION SECTOR AGROPECUARIO,12729995,2023-03-16,2024-11-30,635503,103,COCINA.,TECNICO,PRESENCIAL,33,0,202402,0,625,20.6,3,2023,FALSE
